term,severity,language
damn,mild,en
dammit,mild,en
hell,mild,en
crap,mild,en
stupid,mild,en
idiot,mild,en
idiotic,mild,en
dumb,mild,en
moron,mild,en
loser,mild,en
useless,mild,en
sucks,mild,en
shut up,mild,en
get lost,mild,en
fuck,severe,en
fucking,severe,en
fucker,severe,en
motherfucker,severe,en
shit,severe,en
bullshit,severe,en
bitch,severe,en
bastard,severe,en
asshole,severe,en
ass,severe,en
dick,severe,en
piss off,severe,en
slut,severe,en
whore,severe,en
cunt,severe,en
faggot,severe,en
nigger,severe,en
retard,severe,en
غبي,mild,ar
غبية,mild,ar
احمق,mild,ar
أحمق,mild,ar
اخرس,mild,ar
أخرس,mild,ar
اسكت,mild,ar
تافه,mild,ar
فاشل,mild,ar
حمار,mild,ar
كلب,severe,ar
حقير,severe,ar
وسخ,severe,ar
قذر,severe,ar
لعنه,severe,ar
لعنة,severe,ar
خرا,severe,ar
خراء,severe,ar
زباله,severe,ar
انقلع,severe,ar
العن,severe,ar
غبيه,mild,ar
حماره,mild,ar
حمارة,mild,ar
حمير,mild,ar
تافهه,mild,ar
فاشله,mild,ar
فاشلة,mild,ar
كلبه,severe,ar
كلبة,severe,ar
كلاب,severe,ar
حقيره,severe,ar
حقيرة,severe,ar
وسخه,severe,ar
قذره,severe,ar
زبالة,severe,ar
